# ============================================================
# FocusGate — Practice Content
# ============================================================
# FORMAT: Level | Category | Prompt (what the app says) | Response (model answer)
#
# - Prompt: la pregunta o situación que la app dice en voz alta
# - Response: la respuesta modelo que tú deberías dar
# - Si solo hay 3 campos (sin Response): modo repetición clásico
#
# Cómo agregar frases:
#   B1 | Category | What did you work on yesterday? | Yesterday I finished the login screen.
#
# Levels: A2 (básico) · B1 (intermedio) · B2 (avanzado)
# ============================================================


# ╔══════════════════════════════════════════════════════════╗
# TOPIC: FOUNDATIONS | Foundations | 🗣️ | Conversational essentials
# ╚══════════════════════════════════════════════════════════╝
# Practica esto primero — aplica en cualquier conversación o entrevista.

# --- A2: Reacciones universales básicas ---
A2 | Clarification    | You did not hear what someone said in a meeting. React naturally. | Could you repeat that, please?
B1 | Clarification    | A speaker moved too fast and you lost the thread of the conversation. | Sorry, I lost you there — could you go back to the part about the timeline?
B1 | Clarification    | Before answering a tricky question, you want to make sure you aligned. | Before I answer, I want to make sure I understand the question fully.
B1 | Clarification    | You want to check your answer is actually on target. | Let me make sure I am answering your question correctly.
B1 | Opinion          | You are asked about your approach to solving a problem. | In my experience, the best approach is usually to focus on the basics first.
B1 | Opinion          | You are asked for your view on a technical decision. | I am not entirely sure, but I believe that the key factor here is preparation.
B1 | Opinion          | Someone asks what drives your success at work. | To be honest, I think the most important thing is consistency over time.
B1 | Opinion          | Someone asks about your biggest professional challenge. | I would say the main challenge here is staying motivated long term.
B1 | Opinion          | Someone asks what you find most interesting about a topic. | What I find most interesting about this is how quickly things change in the industry.
B1 | Agreement        | Your teammate makes a strong point in a team meeting. | I completely agree with what you just said about that.
B1 | Agreement        | Someone explains their reasoning and it clicks for you. | That makes a lot of sense — I can see where you are coming from.
B1 | Agreement        | Someone offers a fresh perspective you had not considered before. | That is an interesting perspective — I had not thought of it that way before.
B1 | Agreement        | You both seem aligned after a back-and-forth discussion. | I think we are on the same page here, which is great.
B1 | Disagreement     | You want to push back on something without being rude. | I see your point, but I tend to think that there is another way to look at it.
B1 | Rephrasing       | You realize your previous statement was unclear or misleading. | Let me rephrase that to make sure I am being clear about what I mean.
B1 | Rephrasing       | You want to redirect the conversation back to the main point. | What I mean is that we should probably focus on the most important things first.

# --- B2: Gestión conversacional avanzada ---
B2 | Nuance           | An interviewer asks a layered, complex question that requires thought. | That is a nuanced question — there are a few different ways to look at it.
B2 | Nuance           | You want to separate two related but distinct concepts in your answer. | I think we need to distinguish between two different aspects of this question.
B2 | Nuance           | You mostly agree but want to add an important condition to your agreement. | I am inclined to agree, though I would add the caveat that context matters a lot here.
B2 | Nuance           | You need more information before you can commit to an answer. | Before I commit to a position on that, I would want to understand more about the details.
B2 | Clarity          | You want to make sure you are addressing the real question being asked. | I want to make sure I am addressing the core of what you are actually asking me.
B2 | Clarity          | You said something complicated and want to restate it more clearly. | To put it differently, what I am trying to convey is that the approach needs to evolve.
B2 | Clarity          | You want to frame your answer within the broader context of the situation. | If I understand the broader context correctly, then the key issue is alignment between teams.
B2 | Thinking         | You need time to formulate a thoughtful, well-structured answer. | Let me think out loud for a moment — I want to give you a well-considered answer.
B2 | Engagement       | Something the interviewer said resonated with your own experience. | That resonates with me — particularly the point you made about long-term growth.
B2 | Engagement       | You appreciate a challenging question being raised in the conversation. | I appreciate you raising that — it is something I have been reflecting on as well.
B2 | Engagement       | You want to highlight the most significant aspect of the situation. | What strikes me as most significant about this situation is the opportunity it presents.
B2 | Pushback         | You want to respectfully disagree with a point someone just made. | I would push back slightly on that — my experience suggests a different outcome.


# ╔══════════════════════════════════════════════════════════╗
# TOPIC: HR_INTERVIEW | HR Interview | 💼 | Job interviews & career
# ╚══════════════════════════════════════════════════════════╝

# --- A2 ---
A2 | Introduction     | To start, could you introduce yourself? | My name is Javier. I am an Android developer with three years of experience building mobile apps.
A2 | Skills           | What programming languages do you use? | I mainly work with Kotlin and Java for Android development.
A2 | Experience       | Have you worked on mobile apps before? | Yes, I have built several Android apps from scratch, including e-commerce and productivity tools.
A2 | Experience       | How long have you been a developer? | I have been working as a developer for about three years now.
A2 | Remote           | Are you comfortable working remotely? | Yes, I am very comfortable working remotely. I have a dedicated workspace and a reliable internet connection.
A2 | Compensation     | What is your expected hourly rate? | My expected rate is around thirty dollars per hour, depending on the project scope.
A2 | Portfolio        | Can you share your GitHub profile? | Of course. I will send you the link after our call. It has my main projects and open source contributions.
A2 | Teams            | Have you worked with international clients before? | Yes, I have collaborated with clients from the United States and Europe through fully remote work.
A2 | Language         | How is your English for daily communication? | I am comfortable with English for meetings, emails, and technical discussions.
A2 | Preferences      | What kind of projects do you enjoy the most? | I enjoy building Android apps that solve real problems, especially productivity and fintech apps.
A2 | Availability     | Can you work in our time zone? | Yes, I can adjust my schedule to overlap with your team's main working hours.
A2 | Closing          | Do you have any questions for us? | Yes, I would love to know more about the team structure and how you manage communication across time zones.
A2 | Availability     | When can you start? | I can start within two weeks once we finalize the details of the agreement.
A2 | Work style       | Do you prefer working alone or in a team? | I enjoy both. I work well independently but I also value collaboration when solving complex problems.
A2 | Skills           | What is your favorite mobile tech stack? | I love working with Kotlin, Jetpack Compose, and the MVVM architecture pattern on Android.

# --- B1 ---
B1 | Experience       | Walk me through your most recent project. | My most recent project was a fintech app for a client. I built the payment module using Kotlin and integrated a third-party payment SDK. The app handles over five thousand daily transactions.
B1 | Growth           | How do you stay current with Android development? | I follow the official Android documentation, watch Google I/O talks, and regularly read technical blogs like Droidcon and Android Weekly.
B1 | Skills           | Tell me about your experience with Jetpack Compose. | I have been using Jetpack Compose for two years. I migrated a legacy XML-based UI to Compose and improved the team's development speed by about forty percent.
B1 | Work style       | How do you handle pressure and tight deadlines? | I break the work into small daily goals, communicate progress proactively, and prioritize the most critical features first. I have never missed a client deadline.
B1 | Problem-solving  | Describe a difficult bug you solved. | I once spent two days tracking a memory leak in a background service. I used Android Profiler to identify it and fixed it by properly cleaning up coroutine scopes on lifecycle events.
B1 | Organization     | How do you prioritize tasks on a project? | I use a simple priority matrix — urgent versus important. I also align with the client at the start of each week to make sure I am working on what matters most.
B1 | Adaptability     | Tell me about learning a new technology quickly for a project. | When a client needed Firebase Realtime Database integration, I had two days to learn it. I focused on the official documentation and built a proof of concept before implementing it in production.
B1 | Quality          | How do you ensure code quality before delivery? | I write unit tests for all business logic, use code review tools, and follow clean code principles. I also run static analysis with Lint before every merge to catch issues early.
B1 | Best practices   | What is your approach to writing clean, maintainable code? | I name variables and functions so they clearly describe their purpose. I keep functions short, avoid duplication, and write code that my future self would understand six months later.
B1 | Conflict         | Have you ever disagreed with a client? How did you handle it? | Yes, once a client wanted to skip testing to ship faster. I explained the risk clearly and proposed shipping the core feature tested while continuing QA in parallel. They agreed.
B1 | Technical        | Tell me about your experience with REST APIs. | I have integrated dozens of REST APIs using Retrofit and OkHttp. I handle authentication, error parsing, and edge cases like timeouts and empty responses carefully.
B1 | Communication    | How do you keep your clients updated on progress? | I send daily progress updates via Slack or email, flag blockers immediately, and schedule weekly video calls to review the work and align on next steps.
B1 | Requirements     | What do you do when requirements are unclear or changing? | I ask clarifying questions before starting, document my understanding in writing, and confirm with the client before investing significant time in any direction.
B1 | Remote           | How do you manage async communication with remote teams? | I use tools like Slack and Notion, set clear expectations about response times, and keep detailed notes so nothing falls through the cracks across time zones.
B1 | Feedback         | How do you handle feedback from a code review? | I treat it as a learning opportunity. I read each comment carefully, ask questions when something is unclear, and understand the reasoning before making changes.
B1 | Performance      | Tell me about a time you improved app performance significantly. | I profiled a slow list view and discovered we were doing expensive database queries on the main thread. I moved them to a background coroutine and the scroll became completely smooth.
B1 | Estimation       | How do you estimate the effort for a new feature? | I break the feature into sub-tasks, estimate each one, add a fifteen percent buffer for unknowns, and share a range with the client rather than a fixed number.
B1 | Achievement      | Tell me about a project you are particularly proud of. | I built a habit-tracking app from scratch in six weeks. It reached four point eight stars on the Play Store and gained two thousand users in the first month without any paid marketing.
B1 | Tools            | What tools do you use to manage your freelance work? | I use Jira for task tracking, Notion for documentation, Slack for communication, and GitHub for version control and code review.
B1 | Agile            | How do you handle scope changes that happen mid-project? | I document the new requirements, estimate the additional effort, and communicate the impact on timeline and cost to the client before starting any new work.

# --- B2 ---
B2 | Strategy         | How do you balance technical excellence with business requirements? | I believe technical quality is a business need. Poor code creates bugs that cost more to fix later. I advocate for the right level of quality based on the project's risk and timelines.
B2 | Architecture     | Describe your experience with scalable mobile architectures. | I have designed modular architectures using MVVM and Clean Architecture for apps with over fifty thousand users. I focus on separating concerns so the app can grow without major rewrites.
B2 | Risk             | How do you identify and mitigate technical risks in a project? | At the start I list the highest-risk components — usually third-party integrations and new technologies — and build small prototypes to validate them before committing to full implementation.
B2 | Leadership       | Tell me about influencing a major technical decision on your team. | I convinced the team to adopt Kotlin Coroutines over RxJava by writing a comparison document showing how coroutines reduced boilerplate by forty percent and were easier to test and maintain.
B2 | Standards        | How do you ensure your work aligns with accessibility guidelines? | I follow Material Design guidelines, add content descriptions to all interactive elements, test with TalkBack, and verify the app respects the user's font size and contrast preferences.
B2 | DevOps           | Describe your experience setting up CI/CD pipelines for mobile. | I have configured GitHub Actions pipelines that run unit tests, Lint checks, and automated builds on every pull request. Releases to the Play Store are automated when a tag is pushed to main.
B2 | Decision-making  | How do you choose between competing technical solutions? | I evaluate options against team familiarity, long-term maintainability, and performance requirements. I document the tradeoffs and choose the solution that scores best overall.
B2 | Testing          | What is your philosophy on automated testing? | I focus unit tests on business logic, integration tests on data flows, and UI tests only on critical user journeys. Meaningful coverage of high-risk paths is the goal, not one hundred percent.
B2 | Client relations | How do you build long-term client relationships? | I communicate proactively, deliver consistently, and sometimes point out risks even when not asked. Clients rehire me because they trust my judgment, not just my code.
B2 | Tech debt        | How do you handle technical debt in a client project? | I track it explicitly in the backlog, estimate its cost, and negotiate dedicated time each sprint. I avoid letting it accumulate silently because it eventually slows down every feature.
B2 | Communication    | How do you explain technical concepts to non-technical stakeholders? | I use analogies and avoid jargon. I compare caching to keeping your most-used tools on your desk instead of going to the storage room every time. I focus on business impact, not implementation details.
B2 | Delivery         | Tell me about delivering a complex feature under significant constraints. | I built a payment integration in three days because of a hard partner deadline. I focused on the happy path first, shipped it, then added error handling and edge cases in the following sprint.
B2 | Freelance        | How do you maintain professional standards as a freelancer? | I treat every project as if it were a permanent job. I write documentation, test thoroughly, and hand over clean code. Any developer should be able to continue my work without calling me.
B2 | Growth           | What is your strategy for building your reputation on Upwork? | I invest in detailed case studies with metrics, specialize in Android for fintech and productivity, and ask satisfied clients for reviews. Quality work generates referrals better than any marketing.
B2 | Negotiation      | How do you approach rate negotiation with a prospective client? | I anchor with a rate based on the value I deliver, not my cost of living. I research market rates, prepare examples of past ROI, and treat negotiation as a conversation rather than a confrontation.


# ╔══════════════════════════════════════════════════════════╗
# TOPIC: DAILY_STANDUP | Daily Standup | 🖥️ | Agile team ceremonies
# ╚══════════════════════════════════════════════════════════╝

# --- A2 ---
A2 | Yesterday        | Scrum master asks: "What did you work on yesterday?" | Yesterday I finished the login screen design.
A2 | Today            | Scrum master asks: "What will you work on today?" | Today I am working on the settings page.
A2 | Blockers         | Scrum master asks: "Are you blocked by anything?" | No, I am not blocked right now.
A2 | Update           | The lead asks for your status on the feature. | I finished my task a bit early today.
A2 | Progress         | Lead asks: "How much longer do you need?" | I still need one more day to finish this.
A2 | Review           | Lead asks: "Have you reviewed the pull requests?" | Yes, I reviewed two pull requests this morning.
A2 | Deployment       | Lead asks: "Did the fix go to staging?" | Yes, I deployed the fix to staging yesterday afternoon.
A2 | Question         | You have something unclear from the last sprint planning. | I have a question about the login design we discussed yesterday.
A2 | Help             | Lead asks if anyone can pick up a bug. | I can pick it up. I will need some context on where the bug happens.
A2 | Schedule         | Lead asks if you will be available all day. | I will be in a meeting this afternoon but I am free all morning.
A2 | Client           | Scrum master asks if there are any client updates. | I joined a client call this morning and gave them a progress update.
A2 | Git              | Lead asks if you pushed your changes. | Yes, I pushed my changes to the repository this morning.

# --- B1 ---
B1 | Yesterday        | Scrum master asks: "What did you accomplish yesterday?" | Yesterday I finished implementing the user authentication flow using JWT tokens.
B1 | Today            | Scrum master asks: "What is your plan for today?" | Today I am planning to complete the push notification module and write the unit tests.
B1 | Blockers         | Scrum master asks: "Are there any blockers?" | Yes, I am currently blocked waiting for API documentation from the backend team.
B1 | Review           | Lead asks about the status of your pull request. | I submitted the pull request and it is waiting for review from at least two team members.
B1 | Planning         | Lead asks if the sprint goal is still realistic. | We might need to adjust the sprint goal based on the new client requirements we received yesterday.
B1 | Estimation       | Lead asks how long until you finish the feature. | I will need about two more days to complete the end-to-end feature implementation and testing.
B1 | Technical        | Lead asks what caused yesterday's bug. | The bug was caused by a null pointer exception in the data mapping layer when the API returns an empty list.
B1 | Coordination     | You want to schedule a follow-up discussion after standup. | Can we schedule a quick sync after standup to align on the technical design for the new module?
B1 | Deployment       | Lead asks where the feature branch is and if it is deployed. | I merged the feature branch and deployed it to the staging environment yesterday afternoon.
B1 | Collaboration    | Lead asks who can help resolve the blocking issue. | I am going to pair with a teammate today to resolve the blocking issue on the onboarding screen.
B1 | API              | Lead asks what is wrong with the API responses. | The API response is inconsistent — some fields are missing when the user has no purchase history.
B1 | Testing          | Lead asks if the tests are updated after the QA session. | I updated the unit tests to cover the three edge cases we identified during the QA session yesterday.
B1 | Refactoring      | Lead asks why you refactored the view model. | I refactored it to improve separation of concerns and make the business logic easier to unit test independently.
B1 | Integration      | Lead asks if the SDK is fully integrated. | Yes, I integrated the third-party analytics SDK and tested it across five different Android devices and OS versions.
B1 | Debug            | Lead asks if you found the source of the memory leak. | I am still tracking the memory leak in the image loading component. I expect to have a fix by end of day.
B1 | Ticket           | Lead asks if there is a ticket for the regression found during QA. | Yes, I opened a Jira ticket for the regression. I also added steps to reproduce and the expected behavior.
B1 | Documentation    | Lead asks if the technical documentation is ready. | I finished writing the technical documentation for the new authentication module this morning.
B1 | Environment      | Lead asks why the feature fails in staging. | The feature is working in development but failing on staging. I think it is a configuration issue with the environment variables.
B1 | Schedule         | Lead asks if you will be on Slack all day. | I will be less responsive this afternoon due to a client call that runs from two to four.
B1 | Performance      | Lead asks what caused the scroll lag reported by QA. | I found a performance issue in the recycler view — we were loading full-size images without any compression or resizing.
B1 | Build            | Lead asks what was wrong with last night's build. | I updated the Gradle dependencies and fixed a version conflict that was causing the build to fail silently.
B1 | Planning         | Lead asks you to commit to a delivery date for the next feature. | I need to discuss the estimated effort before I commit to a specific date — can we add ten minutes after standup?

# --- B2 ---
B2 | Architecture     | Lead says the current approach is not working well. What do you propose? | We need to revisit the architectural approach before we continue. The current design will not scale to the user numbers we are targeting this quarter.
B2 | Debug            | Lead asks what is causing the recurring crash in production. | The recurring crash is a threading violation — we are accessing UI state from a background coroutine outside the main thread dispatcher.
B2 | Proposal         | Lead asks your opinion on the current API design for mobile. | I am proposing we migrate the data layer from REST to GraphQL. It would eliminate overfetching and reduce the number of round trips for mobile clients significantly.
B2 | CI               | Lead asks why the CI pipeline keeps failing randomly. | The pipeline is failing intermittently due to a race condition in the integration test suite. It only manifests when two tests run in parallel under load.
B2 | Security         | Lead asks what the security review flagged in your module. | I identified a vulnerability — we are storing the refresh token in plain SharedPreferences, which is not encrypted on Android versions below six.
B2 | Monitoring       | Product asks how the feature flag rollout is performing. | The flag is live for ten percent of users. Crash-free session rate and performance metrics are within normal range. I recommend expanding to fifty percent tomorrow.
B2 | Tech debt        | Lead asks how much technical debt exists in the networking layer. | There are three major issues — inconsistent error handling, no retry logic, and tight coupling to Retrofit. I estimate four sprint points to refactor it properly.
B2 | Backend          | Lead asks if you can optimize the list screen performance now. | Not effectively without server-side changes. Once the backend team adds cursor-based pagination I can implement a paged adapter that will dramatically reduce load time.
B2 | Proposal         | Lead asks you to walk through the proof of concept you completed. | The proof of concept demonstrates we can use WebSockets for real-time updates without a full server-side push notification setup. Latency is under fifty milliseconds in our tests.
B2 | Quality          | Lead asks how we should handle errors consistently across the app. | I propose we define a sealed class hierarchy for domain errors and a standard error mapper at each data layer boundary. Every module would then translate its errors into the same domain model.
B2 | Refactoring      | Teammate asks why you touched the dependency injection graph. | There was a circular dependency between the auth repository and the network module causing a runtime crash. I introduced an interface to break the cycle and also improved testability.
B2 | Performance      | Lead asks what the performance profiler revealed about the list scroll. | The profiler shows we are rebuilding the UI model on every recomposition, creating thousands of short-lived objects during scroll. I will move the transformation to a StateFlow with stateIn.
B2 | DevOps           | Lead asks for an update on the CI reliability issues this week. | Two end-to-end tests were flaking on the emulator due to animation timeouts. I disabled animations in the test environment and added a retry policy. The pipeline has been stable since yesterday.
B2 | Planning         | Lead asks if the team can start development on the new epic. | We need to refine the acceptance criteria first. The current specification is too vague to estimate reliably. Could we block fifteen minutes with the product owner before the sprint starts?
B2 | Accessibility    | Lead asks if the app is ready for launch after the audit. | The accessibility audit found several critical issues — missing focus indicators and low contrast ratios. I need to fix those before we can responsibly ship to production.
B2 | Caching          | Lead asks how we can reduce the redundant API calls in the app. | I am proposing a caching layer with configurable TTL values. The UI would observe a single Flow that reflects both cached and fresh data, and we would get basic offline support as a bonus.


# ╔══════════════════════════════════════════════════════════╗
# TOPIC: DIRECTIONS | Directions | 🗺️ | Asking & giving directions
# ╚══════════════════════════════════════════════════════════╝

# --- A2 ---
A2 | Asking           | A tourist stops you and asks how to get to the city center. | Go straight and turn left at the traffic light.
A2 | Asking           | Someone asks which way the nearest subway station is. | The subway station is two blocks north. Turn right at the corner.
A2 | Distance         | A tourist asks if the hotel is far from where you are. | No, it is about ten minutes on foot. Go straight and you will see it on the left.
A2 | Indoor           | A visitor asks which floor the meeting room is on. | It is on the third floor. Take the elevator on your right when you enter.
A2 | Giving           | A driver asks where to turn. | Turn left at the next traffic light. The entrance is right there on your right.
A2 | Parking          | A visitor asks if there is parking nearby. | Yes, the parking lot is behind the building, on Garcia Street.
A2 | Transport        | A client asks how to get to your office. | Take bus number five and get off at Central Avenue. We are right across the street.
A2 | Distance         | A tourist asks if the museum is within walking distance. | Yes, it is about fifteen minutes on foot. Go straight and turn right at the pharmacy.
A2 | Indoor           | A colleague cannot find the coffee shop in the building. | It is on the ground floor, past the reception area on your left.
A2 | Entrance         | A visitor is looking for the main entrance to your building. | The main entrance is on the south side of the building, on Bolivar Avenue.
A2 | Navigation       | A lost tourist asks which direction downtown is. | Downtown is north from here. Go straight for three blocks and you will see the main square.
A2 | Suggestion       | A tourist asks if they should walk or take a taxi. | Walking is fine. It is only about ten minutes from here.
A2 | Services         | A visitor asks if there is an ATM nearby. | Yes, there is one inside the supermarket at the next corner.
A2 | Indoor           | A colleague asks how to get to the parking lot from inside. | Exit through the back door and the parking lot is right there on your left.
A2 | Landmark         | A tourist is looking for the pharmacy. | Go past the traffic light and the pharmacy is on the right side of the street.
A2 | Indoor           | A client asks where exactly the coworking space is in the building. | It is in the basement. Use the stairs at the back of the lobby.
A2 | Walking          | A visitor asks if they can walk to the station from where you are. | Yes, it is about eight minutes on foot. Cross the street and go straight.
A2 | Indoor           | Someone asks which way the elevator is. | The elevator is at the end of the hallway on your right.
A2 | Indoor           | A visitor asks if there is a meeting room on this floor. | Yes, there are two rooms at the end of the corridor on the left.
A2 | Entrance         | A tourist cannot find the entrance and asks for help. | The entrance is on the side street. Walk around the building to your left.

# --- B1 ---
B1 | Metro            | A tourist asks how to get to the nearest metro station. | Turn left at the traffic light, walk two blocks north, and you will see the station entrance across from the park.
B1 | Bus              | A driver asks which bus to take to Central Avenue. | Take the number four bus from this stop and get off at Central Avenue. It is about a fifteen-minute ride.
B1 | Landmark         | A tourist asks for directions to the shopping mall. | Go past the pharmacy on the corner, take the second right, and the mall entrance will be on your left.
B1 | Conference       | A visitor cannot find the conference center. | It is right across from the main shopping mall. You cannot miss it — there is a big sign out front.
B1 | Indoor           | A colleague cannot find the check-in desk in the building. | The check-in desk is on the ground floor, past the main reception area, at the end of the corridor on the left.
B1 | Security         | A visitor asks if they need to go through security. | Yes, you need to pass through the security checkpoint on the left before you can access the executive wing.
B1 | Metro            | A friend asks where the coffee shop you mentioned is. | It is two stops away on the blue metro line. Get off at Miraflores station and it is right there on the corner.
B1 | Airport          | A client asks for the fastest route to the airport. | Take the expressway to avoid city traffic. From here it is about forty minutes — add thirty if it is rush hour.
B1 | Walking          | A visitor asks if they can walk along the river to reach the hotel. | Yes, walk along the riverfront for about five minutes and the hotel will be on your right, just past the bridge.
B1 | Event            | A colleague is running late and asks exactly where the event is. | The event is in building B, third floor. Enter through the main lobby and take the elevators on the right side.
B1 | Navigation       | A tourist thinks they went the wrong way and asks for help. | You did take a wrong turn. Go back two blocks and then turn left. The venue will be directly ahead of you.
B1 | Traffic          | A friend asks about the best route given construction this week. | There is significant construction on the main road. I would take the ring road instead — it adds five minutes but avoids all the delays.
B1 | Meeting          | A client asks where to meet you when they arrive. | Let's meet at the arrivals gate on the first floor. It is easy to find and a good reference point for both of us.
B1 | GPS              | A visitor says their GPS is giving them strange directions. | The GPS tends to be wrong in this area. Ignore it and follow the signs for the historic center instead.
B1 | Highway          | A driver asks how to navigate the highway exit. | Once you exit the highway, take the first roundabout exit and continue straight for about one kilometer.
B1 | Hidden           | A client cannot see your building from the street. | The building is set back from the road. Look for the pedestrian bridge and turn right — the entrance is visible from there.
B1 | Offline map      | A first-time visitor asks if they need an offline map. | Definitely. The mobile coverage in this area is unreliable, so an offline map is very useful for navigation.
B1 | Missed exit      | A driver asks what to do if they miss the exit. | Do not worry. There is another entry point about two kilometers ahead. Just follow the signs for the city center.

# --- B2 ---
B2 | Airport transfer | A client asks for the most efficient way from the airport to your office. | The most efficient route is the express airport train to the central hub, then transfer to the blue line. It takes about forty-five minutes and avoids traffic entirely.
B2 | Road closures    | A colleague asks what to do given this week's road closures. | I would recommend taking the alternate route via the ring road. It adds about ten minutes but is far more reliable than the main avenue right now.
B2 | Navigation help  | A friend says the venue is hard to find on the map. | The venue is tricky to navigate from a map. Let me drop a pin on WhatsApp so you can follow the walking directions directly — it is much clearer that way.
B2 | Airport arrival  | A client just landed and asks where to go. | Follow the signs for domestic arrivals and exit through Gate B. I will be waiting at the coffee stand just past the exit.
B2 | Wrong entrance   | A visitor used the wrong entrance and is now confused. | There are two entrances leading to different sections. The south entrance on Bolivar Avenue is for visitors — use that one and you will reach the reception directly.
B2 | Rush hour        | A guest asks how much time to allow when driving during rush hour. | There is significant construction on the main road, so allow at least thirty extra minutes if you are driving during morning rush hour.
B2 | Meeting point    | A client arriving early asks where to wait for you. | Head to the arrivals gate on the first floor and wait by the coffee stand on the left. It is easy to find and a convenient reference point.
B2 | GPS failure      | A visitor says the GPS sent them to a field and they are lost. | The GPS signal is unreliable here due to the tall buildings. Ignore it completely and follow the physical road signs for the financial district.
B2 | Wrong exit       | A driver missed the correct highway exit and asks what to do. | Continue to the next interchange, take any exit, and follow the signs back to the city center. There is a service road running parallel to the highway you can use.
B2 | Hidden building  | A client cannot find your building address anywhere on the street. | Our building has no visible street signage. It is accessed through a courtyard behind the main street. Walk through the arch between numbers fourteen and sixteen.
B2 | Offline map tip  | A visitor is going to the old town and asks for navigation advice. | Absolutely download an offline map. Mobile coverage is inconsistent in the old town, and the streets are narrow and confusing. I would get both Google Maps and Maps dot me just in case.
B2 | Full parking     | A colleague asks what to do if the main parking lot is full. | There is a multi-level garage two blocks east on Lima Street. It is a five-minute walk and usually has availability even during busy periods.


# ╔══════════════════════════════════════════════════════════╗
# TOPIC: MOBILE_DEV | Mobile Dev | 📱 | App development talk
# ╚══════════════════════════════════════════════════════════╝

# --- A2 ---
A2 | UI               | Teammate asks what you are working on today. | I am building the home screen using Jetpack Compose.
A2 | Bug              | Lead asks you to look into the Android 12 crash. | Yes, I am looking into it. I think it is related to the background service restriction on Android 12.
A2 | Review           | Lead asks if your pull request is ready for review. | Yes, it is ready. I added inline comments to explain the tricky parts.
A2 | Architecture     | A new teammate asks what architecture you are using. | I am using MVVM with a repository pattern and Hilt for dependency injection.
A2 | API              | Lead asks why the API is not working in the latest build. | It is returning a four oh three error. I need to refresh the authentication token before retrying.
A2 | Testing          | Lead asks if the new classes have unit tests. | Not yet. I am planning to write unit tests for them today before I submit the pull request.
A2 | Networking       | Teammate asks what library you are using for API calls. | I am using Retrofit with an OkHttp interceptor for adding authentication headers automatically.
A2 | Bug              | Client reports the app keeps crashing. | I can see the crash report in Firebase. It happens when the user rotates the screen. I will fix it today.
A2 | UX               | Designer asks why there is a spinner on the screen. | It shows while the data is loading from the server. I will replace it with a skeleton screen instead.
A2 | UI               | Designer asks why the layout looks different on small screens. | The layout breaks on screens smaller than five inches. I need to adjust the padding and font sizes for those devices.
A2 | Edge case        | Lead asks what happens when the user has no internet connection. | Currently it shows an error. I need to add a proper offline state with a message and a retry button.
A2 | Build            | Lead asks why the build is failing in CI. | There is a dependency version conflict in the Gradle configuration. I am fixing it now.

# --- B1 ---
B1 | Architecture     | A lead asks you to explain the architecture of the feature you just built. | I built it using Jetpack Compose for the UI, a ViewModel for state management, and a separate UseCase class to keep the business logic decoupled from the data layer.
B1 | Auth             | Teammate asks why the API keeps returning a four oh three error. | The authentication token expired. I added an OkHttp interceptor that automatically refreshes the token and retries the failed request without the user noticing.
